cid,class,year,metamer_rank,number_ramif,ramif_class
17571,I,97,0,1,D
17574,D,97,0,0,B
17576,I,98,0,1,D
17579,D,98,0,0,B
17581,I,99,0,1,D
17583,D,99,0,0,B
17576,I,98,1,1,D
17587,D,98,0,0,B
17589,I,99,0,1,D
17592,D,99,0,0,B
17589,I,99,1,1,D
17596,D,99,0,0,B
17589,I,99,2,0,B
17571,I,97,1,1,W
17601,W,97,0,0,B
17601,W,97,1,0,B
17601,W,97,2,0,B
17601,W,97,3,0,B
17601,W,97,4,0,B
17601,W,97,5,0,B
17601,W,97,6,0,B
17601,W,97,7,0,B
17601,W,97,8,0,B
17601,W,97,9,0,B
17612,I,98,0,1,W
17614,W,98,0,0,B
17614,W,98,1,0,B
17614,W,98,2,0,B
17614,W,98,3,0,B
17614,W,98,4,0,B
17614,W,98,5,0,B
17621,I,99,0,1,D
17624,D,99,0,0,B
17621,I,99,1,1,W
17628,W,99,0,0,B
17628,W,99,1,0,B
17628,W,99,2,0,B
17628,W,99,3,0,B
17628,W,99,4,0,B
17628,W,99,5,0,B
17621,I,99,2,0,B
17571,I,97,2,0,B
17564,U,96,5,0,B
17564,U,96,6,0,B
17564,U,96,7,0,B
17564,U,96,8,1,D
17642,I,97,0,1,D
17644,D,97,0,0,B
17646,I,98,0,1,D
17649,D,98,0,0,B
17646,I,98,1,1,D
17653,D,98,0,0,B
17655,I,99,0,1,D
17658,D,99,0,0,B
17655,I,99,1,0,B
17646,I,98,2,0,B
17564,U,96,9,0,B
17564,U,96,10,1,D
17665,I,97,0,1,D
17667,D,97,0,0,B
17669,I,99,0,1,D
17672,D,99,0,0,B
17669,I,99,1,1,D
17676,D,99,0,0,B
17564,U,96,11,0,B
17564,U,96,12,1,D
17681,D,97,0,0,B
17683,I,98,0,1,D
17685,D,98,0,0,B
17683,I,98,1,0,B
17564,U,96,13,1,D
17690,I,97,0,1,D
17692,D,97,0,0,B
17694,I,98,0,1,D
17696,D,98,0,0,B
17698,I,99,0,1,D
17701,D,99,0,0,B
17698,I,99,1,1,D
17705,D,99,0,0,B
17698,I,99,2,0,B
17694,I,98,1,0,B
17564,U,96,14,1,D
17711,I,97,0,1,D
17713,D,97,0,0,B
17715,I,98,0,1,D
17717,D,98,0,0,B
17719,D,99,0,0,B
17564,U,96,15,1,D
17723,I,97,0,1,D
17725,D,97,0,0,B
17727,I,98,0,1,D
17729,D,98,0,0,B
17731,I,99,0,1,D
17733,D,99,0,0,B
17727,I,98,1,0,B
17564,U,96,16,2,D
17738,I,97,0,1,D
17741,D,97,0,0,B
17743,I,98,0,1,D
17745,D,98,0,0,B
17747,I,99,0,1,D
17749,D,99,0,0,B
17738,I,97,1,1,D
17752,D,97,0,0,B
17754,I,98,0,1,D
17756,D,98,0,0,B
17758,I,99,0,1,D
17761,D,99,0,0,B
17758,I,99,1,1,D
17765,D,99,0,0,B
17758,I,99,2,0,B
17564,U,96,17,2,D
17770,I,97,0,1,D
17773,D,97,0,0,B
17775,I,98,0,1,D
17777,D,98,0,0,B
17779,I,99,0,1,D
17781,D,99,0,0,B
17770,I,97,1,1,D
17784,D,97,0,0,B
17786,I,99,0,1,D
17789,D,99,0,0,B
17786,I,99,1,1,D
17793,D,99,0,0,B
17786,I,99,2,0,B
17564,U,96,18,1,D
17798,I,97,0,1,D
17800,D,97,0,0,B
17802,I,99,0,1,D
17805,D,99,0,0,B
17802,I,99,1,1,D
17809,D,99,0,0,B
17802,I,99,2,0,B
17564,U,96,19,1,D
17814,I,97,0,1,D
17817,D,97,0,0,B
17819,I,98,0,1,D
17821,D,98,0,0,B
17814,I,97,1,0,B
17564,U,96,20,1,D
17826,I,97,0,1,D
17828,D,97,0,0,B
17830,I,98,0,1,D
17832,D,98,0,0,B
17834,I,99,0,1,D
17836,D,99,0,0,B
17564,U,96,21,1,D
17840,I,97,0,1,D
17842,D,97,0,0,B
17844,I,98,0,1,D
17846,D,98,0,0,B
17848,I,99,0,1,D
17850,D,99,0,0,B
17844,I,98,1,0,B
17564,U,96,22,1,D
17855,I,97,0,1,D
17857,D,97,0,0,B
17859,I,98,0,1,D
17861,D,98,0,0,B
17863,I,99,0,1,D
17866,D,99,0,0,B
17863,I,99,1,0,B
17564,U,96,23,1,D
17871,I,97,0,1,D
17873,D,97,0,0,B
17875,I,98,0,1,D
17877,D,98,0,0,B
17879,I,99,0,1,D
17881,D,99,0,0,B
17564,U,96,24,1,D
17885,I,97,0,1,D
17887,D,97,0,0,B
17889,W,96,0,0,B
17889,W,96,1,0,B
17889,W,96,2,0,B
17889,W,96,3,0,B
17889,W,96,4,0,B
17889,W,96,5,0,B
17889,W,96,6,0,B
17889,W,96,7,1,D
17899,I,97,0,1,D
17901,D,97,0,0,B
17903,I,98,0,1,D
17905,D,98,0,0,B
17907,I,99,0,1,D
17909,D,99,0,0,B
17903,I,98,1,0,B
17889,W,96,8,0,B
17914,I,97,0,0,B
17889,W,96,9,0,B
17918,I,97,0,0,B
17889,W,96,10,1,I
17922,I,97,0,1,D
17924,I,98,0,1,D
17926,D,98,0,0,B
17928,I,99,0,1,D
17930,D,99,0,0,B
17889,W,96,11,0,B
17889,W,96,12,0,B
17889,W,96,13,0,B
17935,I,97,0,1,U
17937,U,97,0,0,B
17937,U,97,1,0,B
17937,U,97,2,0,B
17937,U,97,3,0,B
17937,U,97,4,0,B
17937,U,97,5,0,B
17937,U,97,6,0,B
17937,U,97,7,1,D
17947,I,98,0,1,D
17949,D,98,0,0,B
17951,D,99,0,0,B
17937,U,97,8,0,B
17937,U,97,9,1,D
17956,I,98,0,1,D
17958,D,98,0,0,B
17960,D,99,0,0,B
17956,I,98,1,0,B
17937,U,97,10,1,D
17965,I,98,0,1,D
17967,D,98,0,0,B
17969,D,99,0,0,B
17965,I,98,1,0,B
17937,U,97,11,1,D
17974,I,98,0,1,D
17976,D,98,0,0,B
17978,D,99,0,0,B
17974,I,98,1,0,B
17937,U,97,12,1,D
17983,I,98,0,1,D
17985,D,98,0,0,B
17987,D,99,0,0,B
17983,I,98,1,0,B
17937,U,97,13,1,D
17992,I,98,0,1,D
17994,D,98,0,0,B
17996,D,99,0,0,B
17992,I,98,1,0,B
17937,U,97,14,1,D
18001,I,98,0,1,D
18003,D,98,0,0,B
18005,D,99,0,0,B
18001,I,98,1,0,B
17937,U,97,15,1,D
18010,I,98,0,1,D
18012,D,98,0,0,B
18014,D,99,0,0,B
17937,U,97,16,1,D
18018,I,98,0,1,D
18020,D,98,0,0,B
18018,I,98,1,0,B
17937,U,97,17,1,D
18025,I,98,0,1,D
18027,D,98,0,0,B
18029,I,99,0,1,D
18032,D,99,0,0,B
18029,I,99,1,0,B
18025,I,98,1,0,B
17937,U,97,18,0,B
17937,U,97,19,0,B
18038,W,98,0,0,B
18038,W,98,1,0,B
18038,W,98,2,0,B
18038,W,98,3,0,B
18038,W,98,4,0,B
18038,W,98,5,0,B
18038,W,98,6,1,D
18047,I,99,0,1,D
18049,D,99,0,0,B
18038,W,98,7,0,B
18053,I,99,0,0,B
18038,W,98,8,1,D
18057,I,99,0,1,D
18059,D,99,0,0,B
18038,W,98,9,1,D
18063,I,99,0,1,D
18065,D,99,0,0,B
18038,W,98,10,1,D
18069,I,99,0,1,D
18071,D,99,0,0,B
18038,W,98,11,1,D
18075,I,99,0,1,D
18078,D,99,0,0,B
18075,I,99,1,0,B
18038,W,98,12,1,D
18083,I,99,0,1,D
18085,D,99,0,0,B
18038,W,98,13,0,B
18038,W,98,14,1,D
18089,I,99,0,1,D
18092,D,99,0,0,B
18089,I,99,1,0,B
17935,I,97,1,0,B
3,U,94,51,0,B
3,U,94,52,1,U
18099,U,95,0,1,U
18101,U,96,0,0,B
18101,U,96,1,0,B
18101,U,96,2,0,B
18101,U,96,3,0,B
18101,U,96,4,0,B
18101,U,96,5,0,B
18101,U,96,6,0,B
18101,U,96,7,0,B
18101,U,96,8,0,B
18101,U,96,9,0,B
18101,U,96,10,0,B
18101,U,96,11,0,B
18101,U,96,12,0,B
18101,U,96,13,0,B
18101,U,96,14,0,B
18101,U,96,15,0,B
18101,U,96,16,0,B
18101,U,96,17,1,D
18121,I,97,0,1,D
18123,D,97,0,1,W
18125,W,98,0,0,B
18125,W,98,1,0,B
18125,W,98,2,0,B
18125,W,98,3,0,B
18125,W,98,4,0,B
18125,W,98,5,0,B
18125,W,98,6,1,D
18134,I,99,0,1,D
18136,D,99,0,0,B
18125,W,98,7,1,D
18140,I,99,0,1,D
18143,D,99,0,0,B
18140,I,99,1,0,B
18125,W,98,8,1,D
18148,I,99,0,1,D
18150,D,99,0,0,B
18125,W,98,9,1,D
18154,I,99,0,1,D
18156,D,99,0,0,B
18125,W,98,10,1,D
18160,I,99,0,1,D
18162,D,99,0,0,B
18125,W,98,11,1,D
18166,I,99,0,1,D
18168,D,99,0,0,B
18125,W,98,12,0,B
18171,I,99,0,1,W
18174,W,99,0,0,B
18174,W,99,1,0,B
18174,W,99,2,0,B
18174,W,99,3,0,B
18174,W,99,4,0,B
18171,I,99,1,1,W
18182,W,99,0,0,B
18182,W,99,1,0,B
18182,W,99,2,0,B
18182,W,99,3,0,B
18182,W,99,4,0,B
18171,I,99,2,0,B
18101,U,96,18,0,B
18101,U,96,19,2,D
18192,I,97,0,1,D
18195,D,97,0,0,B
18192,I,97,1,1,D
18198,D,97,0,0,B
18200,I,98,0,1,W
18202,W,98,0,0,B
18202,W,98,1,0,B
18202,W,98,2,0,B
18202,W,98,3,0,B
18202,W,98,4,0,B
18209,I,99,0,0,B
18202,W,98,5,1,D
18213,I,99,0,1,D
18215,D,99,0,0,B
18202,W,98,6,0,B
18219,I,99,0,0,B
18202,W,98,7,1,D
18223,I,99,0,1,D
18225,D,99,0,0,B
18202,W,98,8,1,D
18229,I,99,0,1,D
18231,D,99,0,0,B
18202,W,98,9,1,D
18235,I,99,0,1,D
18237,D,99,0,0,B
18202,W,98,10,0,B
18202,W,98,11,0,B
18202,W,98,12,0,B
18242,I,99,0,1,D
18245,D,99,0,0,B
18242,I,99,1,1,W
18249,W,99,0,0,B
18249,W,99,1,0,B
18249,W,99,2,0,B
18249,W,99,3,0,B
18249,W,99,4,0,B
