name;col;row;treatment;volume;diameter;height;estimated_leaf_area;STAR;max_excentricity
X9421;6;43;WD;2.526151411;0.861038891;2.890494171;3.69720634;0.816494042;0.311894877
X9421;6;95;WD;3.007328761;1.189353635;2.629126484;3.995468723;0.680630261;0.426519648
X9429;6;44;WD;1.513608806;0.642787744;1.888361745;2.676093173;0.587106058;0.185345875
X9429;9;44;WW;1.821289631;0.578981171;2.093524213;3.200736225;0.622408545;0.23355288
X9429;10;44;WD;2.843664491;1.205472353;1.968612197;5.078396197;0.488475793;0.41181809
X9433;5;45;WW;1.588587812;0.669791725;1.865941021;1.961909067;0.83749474;0.487015373
X9433;8;97;WD;2.99207947;1.462691419;2.433684581;2.186719381;1.024819858;0.458735778
X9436;5;46;WW;2.395916228;1.012342079;2.588939363;4.007953109;0.711787855;0.229598096
X9436;6;46;WD;2.500541262;0.80242694;2.517837421;4.621667999;0.644665756;0.335739765
X9436;10;43;WD;3.847326746;1.18442589;2.422624955;6.834863317;0.510762055;0.508504355
X9437;5;47;WW;4.708995128;1.291325485;2.275921538;6.658003892;0.538583793;0.421766415
X9437;6;47;WD;3.444206954;1.372976393;1.654135772;5.502233546;0.495115596;0.285198123
X9437;7;73;WW;5.339290916;1.678722637;2.321812952;7.002086648;0.548666223;0.543336144
X9437;8;73;WD;4.876935816;1.776892409;2.072443655;7.949581581;0.454984116;0.254186362
